row ID,row m/z,row retention time,26C sample 1 Peak status,26C sample 1 Peak name,26C sample 1 Peak m/z,26C sample 1 Peak RT,
1,100.08548736572266,2.919425,DETECTED,100.085 m/z @2.9 [26C sample 1],100.08548736572266,2.919425,
2,100.11216735839844,3.1312450000000003,DETECTED,100.112 m/z @3.1 [26C sample 1],100.11216735839844,3.1312450000000003,
3,101.05989074707031,2.980426666666667,DETECTED,101.060 m/z @3.0 [26C sample 1],101.05989074707031,2.980426666666667,
4,101.07111358642578,11.893081666666667,DETECTED,101.071 m/z @11.9 [26C sample 1],101.07111358642578,11.893081666666667,
5,102.05508422851562,11.440411666666666,DETECTED,102.055 m/z @11.4 [26C sample 1],102.05508422851562,11.440411666666666,
6,102.06631469726562,16.204745000000003,DETECTED,102.066 m/z @16.2 [26C sample 1],102.06631469726562,16.204745000000003,
7,102.08548736572266,2.8982466666666666,DETECTED,102.085 m/z @2.9 [26C sample 1],102.08548736572266,2.8982466666666666,
8,103.03914642333984,10.00508,DETECTED,103.039 m/z @10.0 [26C sample 1],103.03914642333984,10.00508,
9,103.05831146240234,11.352245,DETECTED,103.058 m/z @11.4 [26C sample 1],103.05831146240234,11.352245,
10,104.05299377441406,8.115576666666666,DETECTED,104.053 m/z @8.1 [26C sample 1],104.05299377441406,8.115576666666666,
11,104.07075500488281,10.263078333333333,DETECTED,104.071 m/z @10.3 [26C sample 1],104.07075500488281,10.263078333333333,
12,104.1071548461914,11.621248333333334,DETECTED,104.107 m/z @11.6 [26C sample 1],104.1071548461914,11.621248333333334,
13,105.0701904296875,3.0249149999999996,DETECTED,105.070 m/z @3.0 [26C sample 1],105.0701904296875,3.0249149999999996,
14,105.1104965209961,11.64325,DETECTED,105.110 m/z @11.6 [26C sample 1],105.1104965209961,11.64325,
15,106.05010986328125,12.370755,DETECTED,106.050 m/z @12.4 [26C sample 1],106.05010986328125,12.370755,
16,106.0865249633789,3.1525783333333335,DETECTED,106.087 m/z @3.2 [26C sample 1],106.0865249633789,3.1525783333333335,
17,106.97183227539062,29.83841333333333,DETECTED,106.972 m/z @29.8 [26C sample 1],106.97183227539062,29.83841333333333,
18,107.04940032958984,6.665916666666667,DETECTED,107.049 m/z @6.7 [26C sample 1],107.04940032958984,6.665916666666667,
19,107.07047271728516,4.146748333333333,DETECTED,107.070 m/z @4.1 [26C sample 1],107.07047271728516,4.146748333333333,
20,108.06856536865234,20.013579999999997,DETECTED,108.069 m/z @20.0 [26C sample 1],108.06856536865234,20.013579999999997,
21,109.02875518798828,12.973581666666666,DETECTED,109.029 m/z @13.0 [26C sample 1],109.02875518798828,12.973581666666666,
22,109.0654525756836,3.23842,DETECTED,109.065 m/z @3.2 [26C sample 1],109.0654525756836,3.23842,
23,109.0761947631836,19.454413333333335,DETECTED,109.076 m/z @19.5 [26C sample 1],109.0761947631836,19.454413333333335,
24,109.97755432128906,2.9404116666666664,DETECTED,109.978 m/z @2.9 [26C sample 1],109.97755432128906,2.9404116666666664,
25,109.99072265625,11.396245,DETECTED,109.991 m/z @11.4 [26C sample 1],109.99072265625,11.396245,
26,110.07147216796875,11.307421666666666,DETECTED,110.071 m/z @11.3 [26C sample 1],110.07147216796875,11.307421666666666,
27,111.05555725097656,8.64592,DETECTED,111.056 m/z @8.6 [26C sample 1],111.05555725097656,8.64592,
28,111.0747299194336,11.193751666666666,DETECTED,111.075 m/z @11.2 [26C sample 1],111.0747299194336,11.193751666666666,
29,111.08837127685547,3.3237449999999997,DETECTED,111.088 m/z @3.3 [26C sample 1],111.08837127685547,3.3237449999999997,
30,111.11711883544922,2.770078333333333,DETECTED,111.117 m/z @2.8 [26C sample 1],111.11711883544922,2.770078333333333,
31,112.0508041381836,7.673081666666667,DETECTED,112.051 m/z @7.7 [26C sample 1],112.0508041381836,7.673081666666667,
32,112.07591247558594,8.036246666666665,DETECTED,112.076 m/z @8.0 [26C sample 1],112.07591247558594,8.036246666666665,
33,112.08724212646484,22.833078333333333,DETECTED,112.087 m/z @22.8 [26C sample 1],112.08724212646484,22.833078333333333,
34,113.06012725830078,3.6274116666666667,DETECTED,113.060 m/z @3.6 [26C sample 1],113.06012725830078,3.6274116666666667,
35,113.07124328613281,12.758748333333333,DETECTED,113.071 m/z @12.8 [26C sample 1],113.07124328613281,12.758748333333333,
36,114.05526733398438,9.669411666666667,DETECTED,114.055 m/z @9.7 [26C sample 1],114.05526733398438,9.669411666666667,
37,114.07452392578125,12.734245,DETECTED,114.075 m/z @12.7 [26C sample 1],114.07452392578125,12.734245,
38,114.09164428710938,3.1312450000000003,DETECTED,114.092 m/z @3.1 [26C sample 1],114.09164428710938,3.1312450000000003,
39,114.10289001464844,22.92657833333333,DETECTED,114.103 m/z @22.9 [26C sample 1],114.10289001464844,22.92657833333333,
40,115.03929138183594,10.027923333333336,DETECTED,115.039 m/z @10.0 [26C sample 1],115.03929138183594,10.027923333333336,
41,115.0563735961914,4.080080000000001,DETECTED,115.056 m/z @4.1 [26C sample 1],115.0563735961914,4.080080000000001,
